res_id,name,address,mobile_url,cuisines,review_count,rating
sams-cafe-champaign,Sam's Cafe,"115 N Walnut St,Champaign, IL 61820",http://m.yelp.com/biz/sams-cafe-champaign,"[Diners,diners,Breakfast & Brunch,breakfast_brunch]",51,4
radio-maria-champaign,Radio Maria,"119 N Walnut St,Champaign, IL 61820",http://m.yelp.com/biz/radio-maria-champaign,"[Spanish,spanish,Breakfast & Brunch,breakfast_brunch,Cajun/Creole,cajun]",162,3.5
kofusion-champaign,Kofusion,"1 E Main St,Champaign, IL 61820",http://m.yelp.com/biz/kofusion-champaign,"[Asian Fusion,asianfusion,Sushi Bars,sushi]",158,3.5
deralds-urbana,Derald's,"Mathews Ave & Green St,Urbana, IL 61801",http://m.yelp.com/biz/deralds-urbana,"[Fast Food,hotdogs,Food Stands,foodstands]",12,4.5
hickory-river-smokehouse-urbana,Hickory River Smokehouse,"1706 N Cunningham Ave,Urbana, IL 61802",http://m.yelp.com/biz/hickory-river-smokehouse-urbana,"[Barbeque,bbq,American (Traditional),tradamerican]",44,4
meatheads-champaign,Meatheads,"1305 S Neil St,Champaign, IL 61820",http://m.yelp.com/biz/meatheads-champaign,"[Burgers,burgers]",73,3.5
my-thai-champaign,My Thai,"2312 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/my-thai-champaign,"[Thai,thai,Sushi Bars,sushi]",43,4
esquire-lounge-inc-champaign,Esquire Lounge Inc,"106 N Walnut St,Champaign, IL 61820",http://m.yelp.com/biz/esquire-lounge-inc-champaign,"[Lounges,lounges,Pizza,pizza]",64,4
potbelly-sandwich-shop-champaign,Potbelly Sandwich Shop,"501 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/potbelly-sandwich-shop-champaign,"[Sandwiches,sandwiches,Fast Food,hotdogs,Delis,delis]",25,4
crane-alley-urbana,Crane Alley,"115 W Main St,Urbana, IL 61801",http://m.yelp.com/biz/crane-alley-urbana,"[Bars,bars,American (Traditional),tradamerican]",96,3.5
lil-porgys-bar-b-que-champaign,Li'l Porgy's Bar-B-Que,"1917 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/lil-porgys-bar-b-que-champaign,"[Barbeque,bbq]",53,3.5
silvercreek-urbana,Silvercreek,"402 N Race St,Urbana, IL 61801",http://m.yelp.com/biz/silvercreek-urbana,"[American (New),newamerican,Breakfast & Brunch,breakfast_brunch,Bakeries,bakeries]",66,3.5
green-jade-champaign,Green Jade,"1109 W Windsor,Champaign, IL 61822",http://m.yelp.com/biz/green-jade-champaign,"[Chinese,chinese]",16,4
niros-gyros-champaign,Niro's Gyros,"2001 W Springfield Ave,Champaign, IL 61821",http://m.yelp.com/biz/niros-gyros-champaign,"[Greek,greek]",18,4.5
bevier-cafe-urbana,Bevier Cafe,"Bevier Hall, Rm 298,905 S Goodwin Ave,Urbana, IL 61801",http://m.yelp.com/biz/bevier-cafe-urbana,"[American (New),newamerican,Cafes,cafes]",17,4
lil-porgys-bar-b-que-urbana,Lil Porgy's Bar-B-Que,"101 W University Ave,Urbana, IL 61801",http://m.yelp.com/biz/lil-porgys-bar-b-que-urbana,"[Barbeque,bbq]",61,3.5
antonios-pizza-champaign,Antonio's Pizza,"619 E Green St,Champaign, IL 61820",http://m.yelp.com/biz/antonios-pizza-champaign,"[Pizza,pizza]",53,4
the-y-eatery-champaign,The Y Eatery,"1001 S Wright St,Champaign, IL 61820",http://m.yelp.com/biz/the-y-eatery-champaign,"[Thai,thai]",22,4
