distance,walk_time
1,77.6072149
2,81.25220164
3,81.25220164
4,81.25220164
5,81.25220164
6,83.98594169
7,83.98594169
8,83.98594169
9,87.63092843
10,87.63092843
11,87.63092843
12,87.63092843
13,90.36466848
14,90.36466848
15,90.36466848
16,96.74339527
17,96.74339527
18,96.74339527
19,96.74339527
20,96.74339527
21,96.74339527
22,96.74339527
23,97.65464196
24,101.29962869
25,101.29962869
26,101.29962869
27,101.29962869
28,103.12212206
29,103.12212206
30,104.94461543
31,104.94461543
32,106.7671088
33,106.7671088
34,107.67835548
35,108.58960217
36,109.50084885
37,110.41209554
38,111.32334222
39,112.2345889
40,113.14583559
41,114.05708227
42,114.96832896
43,52.0
44,60.0
45,118.6133157
46,118.6133157
47,119.52456238
48,121.34705575
49,121.34705575
50,123.16954912
51,123.16954912
52,124.99204248
53,124.99204248
54,35.0
55,126.81453586
56,128.63702922
57,128.63702922
58,129.54827591
59,130.4595226
60,252.0
61,36.0
62,133.19326265
63,41.0
64,135.01575601
65,135.9270027
66,79.0
67,70.0
68,51.0
69,139.57198943
70,140.48323612
71,141.39448281
72,142.30572949
73,143.21697617
74,144.12822286
75,145.03946955
76,145.95071623
77,146.86196291
78,147.77320959
79,148.68445628
80,149.59570297
81,150.50694965
82,151.41819633
83,152.32944302
84,153.24068971
85,154.15193639
86,73.0
87,156.88567644
88,156.88567644
89,158.7081698
90,158.7081698
91,159.61941649
92,160.53066318
93,162.35315654
94,162.35315654
95,163.26440323
96,164.17564992
97,36.0
98,64.0
99,134.0
100,167.82063665
101,131.0
102,169.64313003
103,140.0
104,83.0
105,172.37687008
106,173.28811675
107,174.19936344
108,175.11061013
109,151.0
110,176.9331035
111,177.84435018
112,178.75559687
113,86.0
114,115.0
115,181.48933691
116,182.4005836
117,183.31183027
118,184.22307698
119,148.0
120,186.04557034
121,186.95681703
122,163.0
123,188.77931039
124,189.69055708
125,190.60180375
126,191.51305045
127,192.42429712
128,194.2467905
129,194.2467905
130,195.15803718
131,126.0
132,146.0
133,187.0
134,198.80302392
135,199.7142706
136,186.0
137,201.53676398
138,100.0
139,82.0
140,106.0
141,205.18175071
142,206.0929974
143,207.00424407
144,160.0
145,209.73798413
146,209.73798413
147,139.0
148,211.5604775
149,212.47172419
150,275.0
151,117.0
152,303.0
153,451.0
154,217.02795759
155,217.9392043
156,146.0
157,219.76169766
158,220.67294434
159,221.58419101
160,188.0
161,223.4066844
162,224.31793108
163,156.0
164,207.0
165,227.05167114
166,288.0
167,228.8741645
168,229.7854112
169,230.69665787
170,108.0
171,232.51915125
172,233.43039792
173,234.34164461
174,235.25289129
175,221.0
176,237.07538467
177,237.98663134
178,238.89787803
179,239.80912472
180,240.72037139
181,143.0
