res_id,cell_center,walk_time
milos-restaurant-urbana-2,"40.1140720333,-88.2007666162",3203
milos-restaurant-urbana-2,"40.1662720855,-88.2831286759",11264
milos-restaurant-urbana-2,"40.1554720747,-88.2690014088",10158
milos-restaurant-urbana-2,"40.1374720567,-88.1724779526",6391
milos-restaurant-urbana-2,"40.1212720405,-88.2831419331",8518
milos-restaurant-urbana-2,"40.1050720243,-88.1701868771",3201
milos-restaurant-urbana-2,"40.1410720603,-88.2030805179",6471
milos-restaurant-urbana-2,"40.0906720099,-88.240799961",3882
milos-restaurant-urbana-2,"40.1320720513,-88.231344941",6618
milos-restaurant-urbana-2,"40.1482720675,-88.243101947",8679
milos-restaurant-urbana-2,"40.1662720855,-88.2407305777",9471
milos-restaurant-urbana-2,"40.1194720387,-88.2054661415",4138
milos-restaurant-urbana-2,"40.1698720891,-88.2901943385",12474
milos-restaurant-urbana-2,"40.1356720549,-88.2030884701",6456
milos-restaurant-urbana-2,"40.0924720117,-88.2431512059",4162
milos-restaurant-urbana-2,"40.1338720531,-88.2101541",5442
milos-restaurant-urbana-2,"40.1482720675,-88.2690050287",9612
milos-restaurant-urbana-2,"40.1446720639,-88.2172034202",6658
milos-restaurant-urbana-2,"40.1356720549,-88.2902008608",9992
milos-restaurant-urbana-2,"40.0906720099,-88.1702150111",1852
milos-restaurant-urbana-2,"40.1374720567,-88.2030858196",6662
milos-restaurant-urbana-2,"40.1302720495,-88.1772001994",6229
milos-restaurant-urbana-2,"40.0924720117,-88.2596214631",5161
milos-restaurant-urbana-2,"40.1662720855,-88.212465179",8860
milos-restaurant-urbana-2,"40.1374720567,-88.2925549691",10073
milos-restaurant-urbana-2,"40.0816720009,-88.1961103114",576
milos-restaurant-urbana-2,"40.1122720315,-88.2902053171",8393
milos-restaurant-urbana-2,"40.0834720027,-88.2290436411",2587
milos-restaurant-urbana-2,"40.1158720351,-88.191349093",4082
milos-restaurant-urbana-2,"40.1194720387,-88.2290044207",5099
milos-restaurant-urbana-2,"40.1608720801,-88.2054066041",8259
milos-restaurant-urbana-2,"40.1194720387,-88.2242967648",4882
milos-restaurant-urbana-2,"40.0978720171,-88.219615639",2952
milos-restaurant-urbana-2,"40.1338720531,-88.1913194874",6250
milos-restaurant-urbana-2,"40.1104720297,-88.2525493967",5849
