res_id,cell_center,walk_time
steak-n-shake-champaign-2,"40.0870720063,-88.2078653571",6883
steak-n-shake-champaign-2,"40.1698720891,-88.2501495665",2845
steak-n-shake-champaign-2,"40.1284720477,-88.2972646512",3819
steak-n-shake-champaign-2,"40.0924720117,-88.2172693732",5938
steak-n-shake-champaign-2,"40.1230720423,-88.2384163049",2363
steak-n-shake-champaign-2,"40.1194720387,-88.1866355182",6329
steak-n-shake-champaign-2,"40.1104720297,-88.2290142324",3932
steak-n-shake-champaign-2,"40.1104720297,-88.1678228052",7586
steak-n-shake-champaign-2,"40.0906720099,-88.2290358026",5520
steak-n-shake-champaign-2,"40.0834720027,-88.2572746349",4752
steak-n-shake-champaign-2,"40.0852720045,-88.2878578073",6203
steak-n-shake-champaign-2,"40.0924720117,-88.2737388264",4929
steak-n-shake-champaign-2,"40.0834720027,-88.2502168865",5159
steak-n-shake-champaign-2,"40.1284720477,-88.2360570231",2290
steak-n-shake-champaign-2,"40.0816720009,-88.2878586159",6735
steak-n-shake-champaign-2,"40.1590720783,-88.2642891981",1620
steak-n-shake-champaign-2,"40.1608720801,-88.2501565926",1813
steak-n-shake-champaign-2,"40.1734720927,-88.2784151524",3744
steak-n-shake-champaign-2,"40.1608720801,-88.2878407934",3240
steak-n-shake-champaign-2,"40.1302720495,-88.2360552464",2166
steak-n-shake-champaign-2,"40.1680720873,-88.2218848237",4566
steak-n-shake-champaign-2,"40.1572720765,-88.1842155471",7382
steak-n-shake-champaign-2,"40.1428720621,-88.2525252737",471
steak-n-shake-champaign-2,"40.1698720891,-88.2713497399",3323
steak-n-shake-champaign-2,"40.0852720045,-88.2643313571",5028
steak-n-shake-champaign-2,"40.1032720225,-88.2219622766",4833
steak-n-shake-champaign-2,"40.1698720891,-88.1865490463",6733
steak-n-shake-champaign-2,"40.0834720027,-88.2102229785",7130
steak-n-shake-champaign-2,"40.1338720531,-88.2548863051",1248
steak-n-shake-champaign-2,"40.1410720603,-88.257235767",51
steak-n-shake-champaign-2,"40.1266720459,-88.2337047225",2398
steak-n-shake-champaign-2,"40.1464720657,-88.264296407",702
steak-n-shake-champaign-2,"40.1176720369,-88.2172375553",4158
steak-n-shake-champaign-2,"40.1662720855,-88.2972613753",5138
steak-n-shake-champaign-2,"40.1320720513,-88.2501790549",1337
steak-n-shake-champaign-2,"40.1428720621,-88.2642984659",593
steak-n-shake-champaign-2,"40.1500720693,-88.2478101317",1332
