res_id,cell_center,walk_time
ryans-champaign,"40.1356720549,-88.1889621364",6801
ryans-champaign,"40.1716720909,-88.2807714457",3690
ryans-champaign,"40.1572720765,-88.2595799529",1964
ryans-champaign,"40.1230720423,-88.2054609693",4631
ryans-champaign,"40.1032720225,-88.1866632664",7134
ryans-champaign,"40.1032720225,-88.2172557419",5201
ryans-champaign,"40.0978720171,-88.1725540272",8106
ryans-champaign,"40.1680720873,-88.1959741878",6699
ryans-champaign,"40.1374720567,-88.2054402709",7258
ryans-champaign,"40.0906720099,-88.2243301393",5877
ryans-champaign,"40.1104720297,-88.2996197254",5071
ryans-champaign,"40.1572720765,-88.2007015108",6529
ryans-champaign,"40.1482720675,-88.254876075",1369
ryans-champaign,"40.1230720423,-88.2619558304",1912
ryans-champaign,"40.1338720531,-88.2878468772",3081
ryans-champaign,"40.1158720351,-88.2431305657",2845
ryans-champaign,"40.1158720351,-88.2572527856",2246
ryans-champaign,"40.1464720657,-88.2195559061",4560
ryans-champaign,"40.1680720873,-88.191263163",6987
ryans-champaign,"40.1392720585,-88.2925546885",3202
ryans-champaign,"40.0816720009,-88.2337506415",6100
ryans-champaign,"40.1104720297,-88.2172466503",4763
ryans-champaign,"40.1284720477,-88.2949105116",3704
ryans-champaign,"40.1554720747,-88.1795085491",7671
ryans-champaign,"40.1716720909,-88.2171692388",5400
ryans-champaign,"40.1500720693,-88.2431003557",2105
ryans-champaign,"40.1392720585,-88.1866015731",6484
ryans-champaign,"40.1194720387,-88.247835044",2371
ryans-champaign,"40.1194720387,-88.2737271511",2878
ryans-champaign,"40.0888720081,-88.2831514597",5932
ryans-champaign,"40.1392720585,-88.2831366338",1901
ryans-champaign,"40.1464720657,-88.2007178004",5882
ryans-champaign,"40.0996720189,-88.2454980005",3953
ryans-champaign,"40.1428720621,-88.2713623812",1005
ryans-champaign,"40.1482720675,-88.2171988653",4890
ryans-champaign,"40.1752720945,-88.3019721189",4969
ryans-champaign,"40.1752720945,-88.181828244",7921
ryans-champaign,"40.1500720693,-88.2501650198",1851
ryans-champaign,"40.1644720837,-88.210112196",6315
ryans-champaign,"40.1500720693,-88.2548747958",1868
ryans-champaign,"40.1014720207,-88.2431432702",4229
ryans-champaign,"40.1122720315,-88.1913550109",6148
ryans-champaign,"40.1248720441,-88.1913342935",5505
ryans-champaign,"40.1032720225,-88.1960763358",6520
ryans-champaign,"40.0996720189,-88.2219665721",5243
ryans-champaign,"40.1518720711,-88.2007096567",6098
ryans-champaign,"40.1518720711,-88.1842250038",7097
ryans-champaign,"40.1608720801,-88.2383802798",3319
ryans-champaign,"40.1320720513,-88.1866139207",6380
ryans-champaign,"40.1230720423,-88.2242925896",3360
ryans-champaign,"40.1518720711,-88.2054195576",5617
ryans-champaign,"40.1482720675,-88.2242633422",4868
ryans-champaign,"40.1446720639,-88.2077846169",7029
ryans-champaign,"40.1500720693,-88.2195514756",4835
ryans-champaign,"40.1302720495,-88.2501804577",1521
ryans-champaign,"40.1428720621,-88.1654036518",7465
ryans-champaign,"40.1644720837,-88.2148229709",6310
ryans-champaign,"40.1518720711,-88.2901977727",3689
ryans-champaign,"40.1626720819,-88.2666424626",2868
ryans-champaign,"40.0834720027,-88.2596272178",4974
ryans-champaign,"40.1140720333,-88.2219493852",4184
ryans-champaign,"40.1482720675,-88.2383922958",2314
ryans-champaign,"40.1608720801,-88.2525118552",2215
ryans-champaign,"40.0834720027,-88.2384539724",5647
ryans-champaign,"40.1338720531,-88.2643036114",1420
ryans-champaign,"40.1338720531,-88.2831382241",2584
ryans-champaign,"40.1302720495,-88.224284237",3818
ryans-champaign,"40.1410720603,-88.205435094",6952
ryans-champaign,"40.1428720621,-88.1889500361",6323
ryans-champaign,"40.1734720927,-88.2171669584",5413
ryans-champaign,"40.0816720009,-88.1984628321",7852
ryans-champaign,"40.1284720477,-88.2807856744",2823
ryans-champaign,"40.1176720369,-88.2878505236",3702
ryans-champaign,"40.0924720117,-88.1678586016",8598
ryans-champaign,"40.1338720531,-88.2313430393",2956
ryans-champaign,"40.1230720423,-88.1748595861",8699
ryans-champaign,"40.1698720891,-88.217171519",5400
ryans-champaign,"40.0888720081,-88.2196266847",6331
ryans-champaign,"40.1410720603,-88.1889530616",6329
ryans-champaign,"40.0924720117,-88.2102106915",6452
ryans-champaign,"40.1320720513,-88.2195736199",3724
ryans-champaign,"40.0978720171,-88.2431464449",4267
ryans-champaign,"40.1590720783,-88.2218955961",5587
ryans-champaign,"40.0852720045,-88.1772834912",8867
ryans-champaign,"40.1590720783,-88.1936331947",7256
ryans-champaign,"40.1716720909,-88.2077466896",5974
ryans-champaign,"40.1482720675,-88.1865861324",6804
ryans-champaign,"40.1536720729,-88.1889318775",7219
ryans-champaign,"40.1662720855,-88.257218727",2685
ryans-champaign,"40.1482720675,-88.2407471214",2316
ryans-champaign,"40.1716720909,-88.2242361507",4969
ryans-champaign,"40.1680720873,-88.2807726326",3213
ryans-champaign,"40.0978720171,-88.2878549762",5494
ryans-champaign,"40.1014720207,-88.2949137822",5364
ryans-champaign,"40.1446720639,-88.2219128218",4131
ryans-champaign,"40.1698720891,-88.1841934715",7424
ryans-champaign,"40.1248720441,-88.1936883084",5370
ryans-champaign,"40.1122720315,-88.1819406961",6670
ryans-champaign,"40.1536720729,-88.22425707",3466
ryans-champaign,"40.1122720315,-88.207830062",5052
ryans-champaign,"40.0870720063,-88.2078653571",7013
ryans-champaign,"40.1698720891,-88.2501495665",3390
ryans-champaign,"40.1284720477,-88.2972646512",3934
ryans-champaign,"40.0924720117,-88.2172693732",6053
ryans-champaign,"40.1230720423,-88.2384163049",2478
ryans-champaign,"40.1194720387,-88.1866355182",6445
ryans-champaign,"40.1104720297,-88.2290142324",4048
ryans-champaign,"40.1104720297,-88.1678228052",7701
ryans-champaign,"40.0906720099,-88.2290358026",5635
ryans-champaign,"40.0834720027,-88.2572746349",4867
ryans-champaign,"40.0852720045,-88.2878578073",6318
ryans-champaign,"40.0924720117,-88.2737388264",5044
ryans-champaign,"40.0834720027,-88.2502168865",5274
ryans-champaign,"40.1284720477,-88.2360570231",2405
ryans-champaign,"40.0816720009,-88.2878586159",6850
ryans-champaign,"40.1590720783,-88.2642891981",1957
ryans-champaign,"40.1608720801,-88.2501565926",2358
ryans-champaign,"40.1734720927,-88.2784151524",3644
ryans-champaign,"40.1608720801,-88.2878407934",3120
ryans-champaign,"40.1302720495,-88.2360552464",2289
ryans-champaign,"40.1680720873,-88.2218848237",5111
ryans-champaign,"40.1572720765,-88.1842155471",7497
ryans-champaign,"40.1428720621,-88.2525252737",1090
ryans-champaign,"40.1698720891,-88.2713497399",3817
ryans-champaign,"40.0852720045,-88.2643313571",5144
ryans-champaign,"40.1032720225,-88.2219622766",4948
ryans-champaign,"40.1698720891,-88.1865490463",7278
ryans-champaign,"40.0834720027,-88.2102229785",7245
ryans-champaign,"40.1338720531,-88.2548863051",1363
ryans-champaign,"40.1410720603,-88.257235767",675
ryans-champaign,"40.1266720459,-88.2337047225",2513
ryans-champaign,"40.1464720657,-88.264296407",1039
ryans-champaign,"40.1176720369,-88.2172375553",4273
ryans-champaign,"40.1662720855,-88.2972613753",4572
ryans-champaign,"40.1320720513,-88.2501790549",1452
ryans-champaign,"40.1428720621,-88.2642984659",930
ryans-champaign,"40.1500720693,-88.2478101317",1877
ryans-champaign,"40.1392720585,-88.2336918466",2330
ryans-champaign,"40.1716720909,-88.2289474252",4681
ryans-champaign,"40.1086720279,-88.1701798404",7676
ryans-champaign,"40.1716720909,-88.1818346794",7632
ryans-champaign,"40.1122720315,-88.1866478535",6481
ryans-champaign,"40.1518720711,-88.2690032189",1940
ryans-champaign,"40.1140720333,-88.2690222054",3072
ryans-champaign,"40.1068720261,-88.2619656421",3267
ryans-champaign,"40.1608720801,-88.2148276543",6167
ryans-champaign,"40.0978720171,-88.2125563973",5924
ryans-champaign,"40.1734720927,-88.2265897575",4825
ryans-champaign,"40.1302720495,-88.2972644953",3950
ryans-champaign,"40.1104720297,-88.2925591761",4860
ryans-champaign,"40.1104720297,-88.1866509366",6798
ryans-champaign,"40.1752720945,-88.2737029718",3785
ryans-champaign,"40.1392720585,-88.2548824697",803
ryans-champaign,"40.0924720117,-88.1819759649",8014
ryans-champaign,"40.1050720243,-88.2855000279",4730
ryans-champaign,"40.0834720027,-88.2196333098",6751
ryans-champaign,"40.1068720261,-88.2007774533",5919
ryans-champaign,"40.1698720891,-88.1677044477",8492
ryans-champaign,"40.1716720909,-88.2784158084",3542
ryans-champaign,"40.1050720243,-88.1819535251",7280
ryans-champaign,"40.1644720837,-88.1865583216",8089
ryans-champaign,"40.1428720621,-88.2854902118",2274
ryans-champaign,"40.1644720837,-88.2289552956",3566
ryans-champaign,"40.0996720189,-88.2690294289",4278
ryans-champaign,"40.1158720351,-88.2643138955",2605
ryans-champaign,"40.1608720801,-88.2430908049",3323
ryans-champaign,"40.0906720099,-88.2996207525",6485
ryans-champaign,"40.1752720945,-88.2148089155",6140
ryans-champaign,"40.0960720153,-88.2549131238",4147
ryans-champaign,"40.1194720387,-88.1748663786",7378
ryans-champaign,"40.1374720567,-88.2548837483",584
ryans-champaign,"40.1464720657,-88.1842344579",6715
ryans-champaign,"40.0978720171,-88.2454995255",4121
ryans-champaign,"40.1410720603,-88.2266262784",3592
ryans-champaign,"40.1644720837,-88.1936244839",7436
ryans-champaign,"40.1428720621,-88.2219149742",4284
ryans-champaign,"40.1068720261,-88.1960706696",6263
ryans-champaign,"40.1302720495,-88.2666598708",2270
ryans-champaign,"40.1212720405,-88.179570763",7043
ryans-champaign,"40.1104720297,-88.2125396174",4985
ryans-champaign,"40.1518720711,-88.2642933181",1464
ryans-champaign,"40.0852720045,-88.2408049069",5655
ryans-champaign,"40.1140720333,-88.1913520521",6074
ryans-champaign,"40.1644720837,-88.2195337458",5216
ryans-champaign,"40.1572720765,-88.2949070181",4339
ryans-champaign,"40.1248720441,-88.2031043679",4605
ryans-champaign,"40.1518720711,-88.2878428223",3606
ryans-champaign,"40.0888720081,-88.2478599181",5042
ryans-champaign,"40.1122720315,-88.2619623725",2785
ryans-champaign,"40.1392720585,-88.2807821201",1764
ryans-champaign,"40.1734720927,-88.1747643625",8054
ryans-champaign,"40.1158720351,-88.2501916756",2556
ryans-champaign,"40.1680720873,-88.1794856013",7863
ryans-champaign,"40.0888720081,-88.167865757",8847
ryans-champaign,"40.1716720909,-88.1983241404",6556
ryans-champaign,"40.0978720171,-88.271383412",4428
ryans-champaign,"40.0960720153,-88.2949144358",5841
ryans-champaign,"40.1464720657,-88.2407487749",2174
ryans-champaign,"40.1482720675,-88.188940958",6896
ryans-champaign,"40.1752720945,-88.2642799228",3429
ryans-champaign,"40.1626720819,-88.2124699877",6312
ryans-champaign,"40.0888720081,-88.2078628375",6871
ryans-champaign,"40.1518720711,-88.2760680702",1901
ryans-champaign,"40.0960720153,-88.1796165366",8137
ryans-champaign,"40.1572720765,-88.2407388514",2929
ryans-champaign,"40.1752720945,-88.2430780625",4173
ryans-champaign,"40.0906720099,-88.2596226143",4424
ryans-champaign,"40.0816720009,-88.2737434922",5783
ryans-champaign,"40.1446720639,-88.2313316251",2414
ryans-champaign,"40.0816720009,-88.1914052702",8452
ryans-champaign,"40.1140720333,-88.1725229241",7151
ryans-champaign,"40.1374720567,-88.2784282613",1711
ryans-champaign,"40.1716720909,-88.2148136015",5543
ryans-champaign,"40.1104720297,-88.1937114859",6085
ryans-champaign,"40.1626720819,-88.1959827128",7436
ryans-champaign,"40.1644720837,-88.273707657",2923
ryans-champaign,"40.0852720045,-88.2055152315",7295
ryans-champaign,"40.1140720333,-88.2054738982",5218
ryans-champaign,"40.1410720603,-88.2360445826",2013
ryans-champaign,"40.1662720855,-88.1771334305",8069
ryans-champaign,"40.0996720189,-88.2902077144",5385
ryans-champaign,"40.1338720531,-88.1819021811",6471
ryans-champaign,"40.1122720315,-88.2454873214",2992
ryans-champaign,"40.1176720369,-88.2996193516",4525
ryans-champaign,"40.0834720027,-88.1961074815",7985
ryans-champaign,"40.1626720819,-88.2195359627",6319
ryans-champaign,"40.1590720783,-88.2478027973",2502
ryans-champaign,"40.1644720837,-88.1747813844",8069
ryans-champaign,"40.1482720675,-88.2525212494",1614
ryans-champaign,"40.1176720369,-88.2078224929",4842
ryans-champaign,"40.1482720675,-88.2572309007",1246
ryans-champaign,"40.1230720423,-88.2949111661",3873
ryans-champaign,"40.1644720837,-88.2925507565",4428
ryans-champaign,"40.0888720081,-88.1772768348",8605
ryans-champaign,"40.1086720279,-88.2454903733",3319
ryans-champaign,"40.1338720531,-88.2595949582",995
ryans-champaign,"40.1554720747,-88.1818636243",7414
ryans-champaign,"40.0816720009,-88.3019737397",7294
ryans-champaign,"40.0960720153,-88.2878553807",5637
ryans-champaign,"40.0906720099,-88.1866848327",8018
ryans-champaign,"40.1500720693,-88.2525199078",1675
ryans-champaign,"40.1644720837,-88.2901953691",3262
ryans-champaign,"40.0924720117,-88.2855032959",5605
ryans-champaign,"40.1230720423,-88.2713716406",2581
ryans-champaign,"40.1410720603,-88.1748256053",7293
ryans-champaign,"40.1266720459,-88.2925566526",3720
ryans-champaign,"40.0996720189,-88.224319715",5231
ryans-champaign,"40.1230720423,-88.1677977285",8267
ryans-champaign,"40.0870720063,-88.2807992813",5846
ryans-champaign,"40.1068720261,-88.1678299671",8053
ryans-champaign,"40.1446720639,-88.1654000022",7815
ryans-champaign,"40.1428720621,-88.2619438275",749
ryans-champaign,"40.1644720837,-88.2454430077",3613
ryans-champaign,"40.1320720513,-88.2242821484",3614
ryans-champaign,"40.1356720549,-88.1983796922",6574
