res_id,cell_center,walk_time
panera-bread-champaign-4,"40.1140720333,-88.2007666162",4438
panera-bread-champaign-4,"40.1662720855,-88.2831286759",4154
panera-bread-champaign-4,"40.1554720747,-88.2690014088",2871
panera-bread-champaign-4,"40.1374720567,-88.1724779526",5754
panera-bread-champaign-4,"40.1212720405,-88.2831419331",3808
panera-bread-champaign-4,"40.1050720243,-88.1701868771",6824
panera-bread-champaign-4,"40.1410720603,-88.2030805179",5824
panera-bread-champaign-4,"40.0906720099,-88.240799961",4190
panera-bread-champaign-4,"40.1320720513,-88.231344941",1754
panera-bread-champaign-4,"40.1482720675,-88.243101947",1317
panera-bread-champaign-4,"40.1662720855,-88.2407305777",2407
panera-bread-champaign-4,"40.1194720387,-88.2054661415",3777
panera-bread-champaign-4,"40.1698720891,-88.2901943385",5364
panera-bread-champaign-4,"40.1356720549,-88.2030884701",5809
panera-bread-champaign-4,"40.0924720117,-88.2431512059",4017
panera-bread-champaign-4,"40.1338720531,-88.2101541",4477
panera-bread-champaign-4,"40.1482720675,-88.2690050287",2325
panera-bread-champaign-4,"40.1446720639,-88.2172034202",3329
panera-bread-champaign-4,"40.1356720549,-88.2902008608",4441
panera-bread-champaign-4,"40.0906720099,-88.1702150111",8008
panera-bread-champaign-4,"40.1374720567,-88.2030858196",6015
panera-bread-champaign-4,"40.1302720495,-88.1772001994",5592
panera-bread-champaign-4,"40.0924720117,-88.2596214631",4614
panera-bread-champaign-4,"40.1662720855,-88.212465179",4910
panera-bread-champaign-4,"40.1374720567,-88.2925549691",4522
panera-bread-champaign-4,"40.0816720009,-88.1961103114",6904
panera-bread-champaign-4,"40.1122720315,-88.2902053171",4759
panera-bread-champaign-4,"40.0834720027,-88.2290436411",5184
panera-bread-champaign-4,"40.1158720351,-88.191349093",4857
panera-bread-champaign-4,"40.1194720387,-88.2290044207",2310
panera-bread-champaign-4,"40.1608720801,-88.2054066041",5746
panera-bread-champaign-4,"40.1194720387,-88.2242967648",2577
panera-bread-champaign-4,"40.0978720171,-88.219615639",4478
panera-bread-champaign-4,"40.1338720531,-88.1913194874",5603
panera-bread-champaign-4,"40.1104720297,-88.2525493967",2829
panera-bread-champaign-4,"40.1158720351,-88.2266546426",2852
panera-bread-champaign-4,"40.1464720657,-88.2148463796",3937
panera-bread-champaign-4,"40.1014720207,-88.2125516041",4670
panera-bread-champaign-4,"40.1374720567,-88.2101491735",6491
panera-bread-champaign-4,"40.1590720783,-88.1771467939",6742
panera-bread-champaign-4,"40.0816720009,-88.2031678733",6753
panera-bread-champaign-4,"40.1716720909,-88.2595707101",3520
panera-bread-champaign-4,"40.0996720189,-88.1701974297",8353
panera-bread-champaign-4,"40.1446720639,-88.2478145308",824
panera-bread-champaign-4,"40.0978720171,-88.2784426538",5238
panera-bread-champaign-4,"40.1626720819,-88.2336679127",2113
panera-bread-champaign-4,"40.0870720063,-88.2972682319",7057
panera-bread-champaign-4,"40.1086720279,-88.2148954693",4014
panera-bread-champaign-4,"40.1464720657,-88.297263092",4654
panera-bread-champaign-4,"40.0942720135,-88.2902087414",6277
panera-bread-champaign-4,"40.0834720027,-88.177286819",7979
panera-bread-champaign-4,"40.1194720387,-88.2902039465",4276
panera-bread-champaign-4,"40.1680720873,-88.2595730214",3243
panera-bread-champaign-4,"40.0996720189,-88.2031414294",5291
panera-bread-champaign-4,"40.1050720243,-88.3019733352",5970
panera-bread-champaign-4,"40.1356720549,-88.2219235816",2562
panera-bread-champaign-4,"40.1104720297,-88.2949126925",5255
panera-bread-champaign-4,"40.1014720207,-88.2196112194",4225
panera-bread-champaign-4,"40.1284720477,-88.165432837",6920
panera-bread-champaign-4,"40.0816720009,-88.2196355177",5820
panera-bread-champaign-4,"40.1212720405,-88.1889863239",5403
panera-bread-champaign-4,"40.1032720225,-88.1678371276",6975
