res_id,cell_center,walk_time
number-one-wok-champaign,"40.1140720333,-88.2007666162",2796
number-one-wok-champaign,"40.1662720855,-88.2831286759",6059
number-one-wok-champaign,"40.1554720747,-88.2690014088",4953
number-one-wok-champaign,"40.1374720567,-88.1724779526",5740
number-one-wok-champaign,"40.1212720405,-88.2831419331",3386
number-one-wok-champaign,"40.1050720243,-88.1701868771",4821
number-one-wok-champaign,"40.1410720603,-88.2030805179",5820
number-one-wok-champaign,"40.0906720099,-88.240799961",1792
number-one-wok-champaign,"40.1320720513,-88.231344941",2217
number-one-wok-champaign,"40.1482720675,-88.243101947",3626
number-one-wok-champaign,"40.1662720855,-88.2407305777",4675
number-one-wok-champaign,"40.1194720387,-88.2054661415",3017
number-one-wok-champaign,"40.1698720891,-88.2901943385",7269
number-one-wok-champaign,"40.1356720549,-88.2030884701",5805
number-one-wok-champaign,"40.0924720117,-88.2431512059",1619
number-one-wok-champaign,"40.1338720531,-88.2101541",4744
number-one-wok-champaign,"40.1482720675,-88.2690050287",4407
number-one-wok-champaign,"40.1446720639,-88.2172034202",3792
number-one-wok-champaign,"40.1356720549,-88.2902008608",4860
number-one-wok-champaign,"40.0906720099,-88.1702150111",5980
number-one-wok-champaign,"40.1374720567,-88.2030858196",6011
number-one-wok-champaign,"40.1302720495,-88.1772001994",5578
number-one-wok-champaign,"40.0924720117,-88.2596214631",2318
number-one-wok-champaign,"40.1662720855,-88.212465179",5994
number-one-wok-champaign,"40.1374720567,-88.2925549691",4941
number-one-wok-champaign,"40.0816720009,-88.1961103114",4663
number-one-wok-champaign,"40.1122720315,-88.2902053171",3186
number-one-wok-champaign,"40.0834720027,-88.2290436411",2928
number-one-wok-champaign,"40.1158720351,-88.191349093",3675
number-one-wok-champaign,"40.1194720387,-88.2290044207",1620
number-one-wok-champaign,"40.1608720801,-88.2054066041",6209
number-one-wok-champaign,"40.1194720387,-88.2242967648",1918
number-one-wok-champaign,"40.0978720171,-88.219615639",2311
number-one-wok-champaign,"40.1338720531,-88.1913194874",5599
number-one-wok-champaign,"40.1104720297,-88.2525493967",622
number-one-wok-champaign,"40.1158720351,-88.2266546426",1566
number-one-wok-champaign,"40.1464720657,-88.2148463796",4400
number-one-wok-champaign,"40.1014720207,-88.2125516041",2504
number-one-wok-champaign,"40.1374720567,-88.2101491735",6487
number-one-wok-champaign,"40.1590720783,-88.1771467939",6738
number-one-wok-champaign,"40.0816720009,-88.2031678733",4512
number-one-wok-champaign,"40.1716720909,-88.2595707101",5713
number-one-wok-champaign,"40.0996720189,-88.1701974297",6340
number-one-wok-champaign,"40.1446720639,-88.2478145308",3132
number-one-wok-champaign,"40.0978720171,-88.2784426538",3012
number-one-wok-champaign,"40.1626720819,-88.2336679127",4382
number-one-wok-champaign,"40.0870720063,-88.2972682319",4831
number-one-wok-champaign,"40.1086720279,-88.2148954693",1935
number-one-wok-champaign,"40.1464720657,-88.297263092",5647
number-one-wok-champaign,"40.0942720135,-88.2902087414",4051
number-one-wok-champaign,"40.0834720027,-88.177286819",5795
number-one-wok-champaign,"40.1194720387,-88.2902039465",4156
number-one-wok-champaign,"40.1680720873,-88.2595730214",5436
number-one-wok-champaign,"40.0996720189,-88.2031414294",3182
number-one-wok-champaign,"40.1050720243,-88.3019733352",4030
number-one-wok-champaign,"40.1356720549,-88.2219235816",3025
number-one-wok-champaign,"40.1104720297,-88.2949126925",3444
number-one-wok-champaign,"40.1014720207,-88.2196112194",2058
number-one-wok-champaign,"40.1284720477,-88.165432837",6946
number-one-wok-champaign,"40.0816720009,-88.2196355177",3653
number-one-wok-champaign,"40.1212720405,-88.1889863239",4222
number-one-wok-champaign,"40.1032720225,-88.1678371276",4972
number-one-wok-champaign,"40.1536720729,-88.2619372754",4720
number-one-wok-champaign,"40.1374720567,-88.2878460665",5048
number-one-wok-champaign,"40.1248720441,-88.2454766356",1364
number-one-wok-champaign,"40.1356720549,-88.1936709143",5364
number-one-wok-champaign,"40.1608720801,-88.290196056",6252
number-one-wok-champaign,"40.0960720153,-88.2219708669",2277
number-one-wok-champaign,"40.1104720297,-88.2078325845",2263
number-one-wok-champaign,"40.1554720747,-88.2171897532",4902
number-one-wok-champaign,"40.0996720189,-88.2078477151",2900
number-one-wok-champaign,"40.1176720369,-88.2031149617",3005
number-one-wok-champaign,"40.1626720819,-88.2101146627",5697
number-one-wok-champaign,"40.0852720045,-88.252568132",2993
number-one-wok-champaign,"40.1284720477,-88.2831398139",3830
number-one-wok-champaign,"40.1212720405,-88.2760802624",2943
number-one-wok-champaign,"40.1248720441,-88.25724671",2078
number-one-wok-champaign,"40.1662720855,-88.1747779806",8033
number-one-wok-champaign,"40.1338720531,-88.2478233253",2264
number-one-wok-champaign,"40.1680720873,-88.3019722438",7102
number-one-wok-champaign,"40.1086720279,-88.2996198188",3624
