res_id,cell_center,walk_time
penn-station-champaign-2,"40.0870720063,-88.2078653571",7188
applebees-champaign,"40.0870720063,-88.2078653571",7188
applebees-champaign,"40.1698720891,-88.2501495665",2780
applebees-champaign,"40.1698720891,-88.2501495665",2780
applebees-champaign,"40.1284720477,-88.2972646512",3955
applebees-champaign,"40.1284720477,-88.2972646512",3955
applebees-champaign,"40.0924720117,-88.2172693732",6074
applebees-champaign,"40.0924720117,-88.2172693732",6074
applebees-champaign,"40.1230720423,-88.2384163049",2499
applebees-champaign,"40.1230720423,-88.2384163049",2499
applebees-champaign,"40.1194720387,-88.1866355182",6466
applebees-champaign,"40.1194720387,-88.1866355182",6466
applebees-champaign,"40.1104720297,-88.2290142324",4069
applebees-champaign,"40.1104720297,-88.2290142324",4069
applebees-champaign,"40.1104720297,-88.1678228052",7722
applebees-champaign,"40.1104720297,-88.1678228052",7722
applebees-champaign,"40.0906720099,-88.2290358026",5656
applebees-champaign,"40.0906720099,-88.2290358026",5656
applebees-champaign,"40.0834720027,-88.2572746349",4888
applebees-champaign,"40.0834720027,-88.2572746349",4888
applebees-champaign,"40.0852720045,-88.2878578073",6339
applebees-champaign,"40.0852720045,-88.2878578073",6339
applebees-champaign,"40.0924720117,-88.2737388264",5065
applebees-champaign,"40.0924720117,-88.2737388264",5065
applebees-champaign,"40.0834720027,-88.2502168865",5295
applebees-champaign,"40.0834720027,-88.2502168865",5295
applebees-champaign,"40.1284720477,-88.2360570231",2350
applebees-champaign,"40.1284720477,-88.2360570231",2350
applebees-champaign,"40.0816720009,-88.2878586159",6872
applebees-champaign,"40.0816720009,-88.2878586159",6872
applebees-champaign,"40.1590720783,-88.2642891981",1483
applebees-champaign,"40.1590720783,-88.2642891981",1483
applebees-champaign,"40.1608720801,-88.2501565926",1748
applebees-champaign,"40.1608720801,-88.2501565926",1748
applebees-champaign,"40.1734720927,-88.2784151524",3607
applebees-champaign,"40.1734720927,-88.2784151524",3607
applebees-champaign,"40.1608720801,-88.2878407934",3103
applebees-champaign,"40.1608720801,-88.2878407934",3103
applebees-champaign,"40.1302720495,-88.2360552464",2205
applebees-champaign,"40.1302720495,-88.2360552464",2205
applebees-champaign,"40.1680720873,-88.2218848237",4501
applebees-champaign,"40.1680720873,-88.2218848237",4501
applebees-champaign,"40.1572720765,-88.1842155471",7519
applebees-champaign,"40.1572720765,-88.1842155471",7519
applebees-champaign,"40.1428720621,-88.2525252737",490
applebees-champaign,"40.1428720621,-88.2525252737",490
applebees-champaign,"40.1698720891,-88.2713497399",3258
applebees-champaign,"40.1698720891,-88.2713497399",3258
applebees-champaign,"40.0852720045,-88.2643313571",5165
applebees-champaign,"40.0852720045,-88.2643313571",5165
applebees-champaign,"40.1032720225,-88.2219622766",4969
applebees-champaign,"40.1032720225,-88.2219622766",4969
applebees-champaign,"40.1698720891,-88.1865490463",6668
applebees-champaign,"40.1698720891,-88.1865490463",6668
applebees-champaign,"40.0834720027,-88.2102229785",7266
applebees-champaign,"40.0834720027,-88.2102229785",7266
applebees-champaign,"40.1338720531,-88.2548863051",1385
applebees-champaign,"40.1338720531,-88.2548863051",1385
applebees-champaign,"40.1410720603,-88.257235767",275
applebees-champaign,"40.1410720603,-88.257235767",275
applebees-champaign,"40.1266720459,-88.2337047225",2534
applebees-champaign,"40.1266720459,-88.2337047225",2534
applebees-champaign,"40.1464720657,-88.264296407",565
applebees-champaign,"40.1464720657,-88.264296407",565
applebees-champaign,"40.1176720369,-88.2172375553",4294
applebees-champaign,"40.1176720369,-88.2172375553",4294
applebees-champaign,"40.1662720855,-88.2972613753",5016
applebees-champaign,"40.1662720855,-88.2972613753",5016
applebees-champaign,"40.1320720513,-88.2501790549",1473
applebees-champaign,"40.1320720513,-88.2501790549",1473
applebees-champaign,"40.1428720621,-88.2642984659",607
applebees-champaign,"40.1428720621,-88.2642984659",607
applebees-champaign,"40.1500720693,-88.2478101317",1267
applebees-champaign,"40.1500720693,-88.2478101317",1267
applebees-champaign,"40.1392720585,-88.2336918466",1993
applebees-champaign,"40.1392720585,-88.2336918466",1993
applebees-champaign,"40.1716720909,-88.2289474252",4071
applebees-champaign,"40.1716720909,-88.2289474252",4071
applebees-champaign,"40.1086720279,-88.1701798404",7697
applebees-champaign,"40.1086720279,-88.1701798404",7697
applebees-champaign,"40.1716720909,-88.1818346794",7022
applebees-champaign,"40.1716720909,-88.1818346794",7022
applebees-champaign,"40.1122720315,-88.1866478535",6503
applebees-champaign,"40.1122720315,-88.1866478535",6503
applebees-champaign,"40.1518720711,-88.2690032189",1467
applebees-champaign,"40.1518720711,-88.2690032189",1467
applebees-champaign,"40.1140720333,-88.2690222054",3093
applebees-champaign,"40.1140720333,-88.2690222054",3093
applebees-champaign,"40.1068720261,-88.2619656421",3288
applebees-champaign,"40.1068720261,-88.2619656421",3288
applebees-champaign,"40.1608720801,-88.2148276543",5988
applebees-champaign,"40.1608720801,-88.2148276543",5988
applebees-champaign,"40.0978720171,-88.2125563973",5945
applebees-champaign,"40.0978720171,-88.2125563973",5945
applebees-champaign,"40.1734720927,-88.2265897575",4216
applebees-champaign,"40.1734720927,-88.2265897575",4216
applebees-champaign,"40.1302720495,-88.2972644953",3972
applebees-champaign,"40.1302720495,-88.2972644953",3972
applebees-champaign,"40.1104720297,-88.2925591761",4881
applebees-champaign,"40.1104720297,-88.2925591761",4881
applebees-champaign,"40.1104720297,-88.1866509366",6819
applebees-champaign,"40.1104720297,-88.1866509366",6819
applebees-champaign,"40.1752720945,-88.2737029718",3748
applebees-champaign,"40.1752720945,-88.2737029718",3748
applebees-champaign,"40.1392720585,-88.2548824697",819
applebees-champaign,"40.1392720585,-88.2548824697",819
applebees-champaign,"40.0924720117,-88.1819759649",8035
applebees-champaign,"40.0924720117,-88.1819759649",8035
applebees-champaign,"40.1050720243,-88.2855000279",4751
applebees-champaign,"40.1050720243,-88.2855000279",4751
applebees-champaign,"40.0834720027,-88.2196333098",6772
applebees-champaign,"40.0834720027,-88.2196333098",6772
applebees-champaign,"40.1068720261,-88.2007774533",5941
applebees-champaign,"40.1068720261,-88.2007774533",5941
applebees-champaign,"40.1698720891,-88.1677044477",7882
applebees-champaign,"40.1698720891,-88.1677044477",7882
applebees-champaign,"40.1716720909,-88.2784158084",3505
applebees-champaign,"40.1716720909,-88.2784158084",3505
applebees-champaign,"40.1050720243,-88.1819535251",7301
applebees-champaign,"40.1050720243,-88.1819535251",7301
applebees-champaign,"40.1644720837,-88.1865583216",7480
applebees-champaign,"40.1644720837,-88.1865583216",7480
applebees-champaign,"40.1428720621,-88.2854902118",2976
applebees-champaign,"40.1428720621,-88.2854902118",2976
applebees-champaign,"40.1644720837,-88.2289552956",2994
applebees-champaign,"40.1644720837,-88.2289552956",2994
applebees-champaign,"40.0996720189,-88.2690294289",4299
applebees-champaign,"40.0996720189,-88.2690294289",4299
applebees-champaign,"40.1158720351,-88.2643138955",2626
applebees-champaign,"40.1158720351,-88.2643138955",2626
applebees-champaign,"40.1608720801,-88.2430908049",2751
applebees-champaign,"40.1608720801,-88.2430908049",2751
applebees-champaign,"40.0906720099,-88.2996207525",6519
applebees-champaign,"40.0906720099,-88.2996207525",6519
applebees-champaign,"40.1752720945,-88.2148089155",5530
applebees-champaign,"40.1752720945,-88.2148089155",5530
applebees-champaign,"40.0960720153,-88.2549131238",4169
applebees-champaign,"40.0960720153,-88.2549131238",4169
applebees-champaign,"40.1194720387,-88.1748663786",7399
applebees-champaign,"40.1194720387,-88.1748663786",7399
applebees-champaign,"40.1374720567,-88.2548837483",600
applebees-champaign,"40.1374720567,-88.2548837483",600
applebees-champaign,"40.1464720657,-88.1842344579",6736
applebees-champaign,"40.1464720657,-88.1842344579",6736
applebees-champaign,"40.0978720171,-88.2454995255",4142
applebees-champaign,"40.0978720171,-88.2454995255",4142
applebees-champaign,"40.1410720603,-88.2266262784",3613
applebees-champaign,"40.1410720603,-88.2266262784",3613
applebees-champaign,"40.1644720837,-88.1936244839",7457
applebees-champaign,"40.1644720837,-88.1936244839",7457
applebees-champaign,"40.1428720621,-88.2219149742",4305
applebees-champaign,"40.1428720621,-88.2219149742",4305
applebees-champaign,"40.1068720261,-88.1960706696",6284
applebees-champaign,"40.1068720261,-88.1960706696",6284
applebees-champaign,"40.1302720495,-88.2666598708",2291
applebees-champaign,"40.1302720495,-88.2666598708",2291
applebees-champaign,"40.1212720405,-88.179570763",7064
applebees-champaign,"40.1212720405,-88.179570763",7064
applebees-champaign,"40.1104720297,-88.2125396174",5006
applebees-champaign,"40.1104720297,-88.2125396174",5006
applebees-champaign,"40.1518720711,-88.2642933181",990
applebees-champaign,"40.1518720711,-88.2642933181",990
applebees-champaign,"40.0852720045,-88.2408049069",5677
applebees-champaign,"40.0852720045,-88.2408049069",5677
applebees-champaign,"40.1140720333,-88.1913520521",6095
applebees-champaign,"40.1140720333,-88.1913520521",6095
applebees-champaign,"40.1644720837,-88.2195337458",4606
applebees-champaign,"40.1644720837,-88.2195337458",4606
applebees-champaign,"40.1572720765,-88.2949070181",5041
applebees-champaign,"40.1572720765,-88.2949070181",5041
applebees-champaign,"40.1248720441,-88.2031043679",4627
applebees-champaign,"40.1248720441,-88.2031043679",4627
applebees-champaign,"40.1518720711,-88.2878428223",3590
applebees-champaign,"40.1518720711,-88.2878428223",3590
applebees-champaign,"40.0888720081,-88.2478599181",5063
applebees-champaign,"40.0888720081,-88.2478599181",5063
applebees-champaign,"40.1122720315,-88.2619623725",2806
applebees-champaign,"40.1122720315,-88.2619623725",2806
applebees-champaign,"40.1392720585,-88.2807821201",2466
applebees-champaign,"40.1392720585,-88.2807821201",2466
applebees-champaign,"40.1734720927,-88.1747643625",7444
applebees-champaign,"40.1734720927,-88.1747643625",7444
applebees-champaign,"40.1158720351,-88.2501916756",2577
applebees-champaign,"40.1158720351,-88.2501916756",2577
applebees-champaign,"40.1680720873,-88.1794856013",7253
applebees-champaign,"40.1680720873,-88.1794856013",7253
applebees-champaign,"40.0888720081,-88.167865757",8868
applebees-champaign,"40.0888720081,-88.167865757",8868
applebees-champaign,"40.1716720909,-88.1983241404",5946
applebees-champaign,"40.1716720909,-88.1983241404",5946
applebees-champaign,"40.0978720171,-88.271383412",4449
applebees-champaign,"40.0978720171,-88.271383412",4449
applebees-champaign,"40.0960720153,-88.2949144358",5875
applebees-champaign,"40.0960720153,-88.2949144358",5875
applebees-champaign,"40.1464720657,-88.2407487749",1626
applebees-champaign,"40.1464720657,-88.2407487749",1626
applebees-champaign,"40.1482720675,-88.188940958",6918
applebees-champaign,"40.1482720675,-88.188940958",6918
applebees-champaign,"40.1752720945,-88.2642799228",2819
applebees-champaign,"40.1752720945,-88.2642799228",2819
applebees-champaign,"40.1626720819,-88.2124699877",5846
applebees-champaign,"40.1626720819,-88.2124699877",5846
applebees-champaign,"40.0888720081,-88.2078628375",6877
applebees-champaign,"40.0888720081,-88.2078628375",6877
applebees-champaign,"40.1518720711,-88.2760680702",1976
applebees-champaign,"40.1518720711,-88.2760680702",1976
applebees-champaign,"40.0960720153,-88.1796165366",8158
applebees-champaign,"40.0960720153,-88.1796165366",8158
applebees-champaign,"40.1572720765,-88.2407388514",2319
applebees-champaign,"40.1572720765,-88.2407388514",2319
applebees-champaign,"40.1752720945,-88.2430780625",3563
applebees-champaign,"40.1752720945,-88.2430780625",3563
applebees-champaign,"40.0906720099,-88.2596226143",4445
applebees-champaign,"40.0906720099,-88.2596226143",4445
applebees-champaign,"40.0816720009,-88.2737434922",5804
applebees-champaign,"40.0816720009,-88.2737434922",5804
applebees-champaign,"40.1446720639,-88.2313316251",1994
applebees-champaign,"40.1446720639,-88.2313316251",1994
applebees-champaign,"40.0816720009,-88.1914052702",8473
applebees-champaign,"40.0816720009,-88.1914052702",8473
applebees-champaign,"40.1140720333,-88.1725229241",7172
applebees-champaign,"40.1140720333,-88.1725229241",7172
applebees-champaign,"40.1374720567,-88.2784282613",2370
applebees-champaign,"40.1374720567,-88.2784282613",2370
applebees-champaign,"40.1716720909,-88.2148136015",4933
applebees-champaign,"40.1716720909,-88.2148136015",4933
applebees-champaign,"40.1104720297,-88.1937114859",6106
applebees-champaign,"40.1104720297,-88.1937114859",6106
applebees-champaign,"40.1626720819,-88.1959827128",7457
applebees-champaign,"40.1626720819,-88.1959827128",7457
applebees-champaign,"40.1644720837,-88.273707657",2886
applebees-champaign,"40.1644720837,-88.273707657",2886
applebees-champaign,"40.0852720045,-88.2055152315",7301
applebees-champaign,"40.0852720045,-88.2055152315",7301
applebees-champaign,"40.1140720333,-88.2054738982",5239
applebees-champaign,"40.1140720333,-88.2054738982",5239
applebees-champaign,"40.1410720603,-88.2360445826",1703
applebees-champaign,"40.1410720603,-88.2360445826",1703
applebees-champaign,"40.1662720855,-88.1771334305",7459
applebees-champaign,"40.1662720855,-88.1771334305",7459
applebees-champaign,"40.0996720189,-88.2902077144",5407
applebees-champaign,"40.0996720189,-88.2902077144",5407
applebees-champaign,"40.1338720531,-88.1819021811",6492
applebees-champaign,"40.1338720531,-88.1819021811",6492
