res_id,cell_center,walk_time
intermezzo-cafe-urbana-2,"40.1356720549,-88.1889621364",4605
intermezzo-cafe-urbana-2,"40.1716720909,-88.2807714457",8149
intermezzo-cafe-urbana-2,"40.1572720765,-88.2595799529",6014
intermezzo-cafe-urbana-2,"40.1230720423,-88.2054609693",2222
intermezzo-cafe-urbana-2,"40.1032720225,-88.1866632664",2616
intermezzo-cafe-urbana-2,"40.1032720225,-88.2172557419",638
intermezzo-cafe-urbana-2,"40.0978720171,-88.1725540272",3622
intermezzo-cafe-urbana-2,"40.1680720873,-88.1959741878",6673
intermezzo-cafe-urbana-2,"40.1374720567,-88.2054402709",5072
intermezzo-cafe-urbana-2,"40.0906720099,-88.2243301393",2133
intermezzo-cafe-urbana-2,"40.1104720297,-88.2996197254",5241
intermezzo-cafe-urbana-2,"40.1572720765,-88.2007015108",5302
intermezzo-cafe-urbana-2,"40.1482720675,-88.254876075",5185
intermezzo-cafe-urbana-2,"40.1230720423,-88.2619558304",3619
intermezzo-cafe-urbana-2,"40.1338720531,-88.2878468772",6024
intermezzo-cafe-urbana-2,"40.1158720351,-88.2431305657",1928
intermezzo-cafe-urbana-2,"40.1158720351,-88.2572527856",2879
intermezzo-cafe-urbana-2,"40.1464720657,-88.2195559061",3333
intermezzo-cafe-urbana-2,"40.1680720873,-88.191263163",6961
intermezzo-cafe-urbana-2,"40.1392720585,-88.2925546885",6990
intermezzo-cafe-urbana-2,"40.0816720009,-88.2337506415",2859
intermezzo-cafe-urbana-2,"40.1104720297,-88.2172466503",470
intermezzo-cafe-urbana-2,"40.1284720477,-88.2949105116",6112
intermezzo-cafe-urbana-2,"40.1554720747,-88.1795085491",5486
intermezzo-cafe-urbana-2,"40.1716720909,-88.2171692388",6162
intermezzo-cafe-urbana-2,"40.1500720693,-88.2431003557",5006
intermezzo-cafe-urbana-2,"40.1392720585,-88.1866015731",4298
intermezzo-cafe-urbana-2,"40.1194720387,-88.247835044",2505
intermezzo-cafe-urbana-2,"40.1194720387,-88.2737271511",4079
intermezzo-cafe-urbana-2,"40.0888720081,-88.2831514597",5367
intermezzo-cafe-urbana-2,"40.1392720585,-88.2831366338",5689
intermezzo-cafe-urbana-2,"40.1464720657,-88.2007178004",4654
intermezzo-cafe-urbana-2,"40.0996720189,-88.2454980005",2134
intermezzo-cafe-urbana-2,"40.1428720621,-88.2713623812",5808
intermezzo-cafe-urbana-2,"40.1482720675,-88.2171988653",3662
intermezzo-cafe-urbana-2,"40.1752720945,-88.3019721189",9080
intermezzo-cafe-urbana-2,"40.1752720945,-88.181828244",6811
intermezzo-cafe-urbana-2,"40.1500720693,-88.2501650198",5176
intermezzo-cafe-urbana-2,"40.1644720837,-88.210112196",5230
intermezzo-cafe-urbana-2,"40.1500720693,-88.2548747958",5210
intermezzo-cafe-urbana-2,"40.1014720207,-88.2431432702",1928
intermezzo-cafe-urbana-2,"40.1122720315,-88.1913550109",2291
intermezzo-cafe-urbana-2,"40.1248720441,-88.1913342935",3022
intermezzo-cafe-urbana-2,"40.1032720225,-88.1960763358",2003
intermezzo-cafe-urbana-2,"40.0996720189,-88.2219665721",802
intermezzo-cafe-urbana-2,"40.1518720711,-88.2007096567",4871
intermezzo-cafe-urbana-2,"40.1518720711,-88.1842250038",4912
intermezzo-cafe-urbana-2,"40.1608720801,-88.2383802798",5302
intermezzo-cafe-urbana-2,"40.1320720513,-88.1866139207",4184
intermezzo-cafe-urbana-2,"40.1230720423,-88.2242925896",1437
intermezzo-cafe-urbana-2,"40.1518720711,-88.2054195576",4390
