res_id,cell_center,walk_time
subway-champaign-7,"40.1140720333,-88.2007666162",2754
subway-champaign-7,"40.1662720855,-88.2831286759",5709
subway-champaign-7,"40.1554720747,-88.2690014088",4603
subway-champaign-7,"40.1374720567,-88.1724779526",5236
subway-champaign-7,"40.1212720405,-88.2831419331",3059
subway-champaign-7,"40.1050720243,-88.1701868771",5140
subway-champaign-7,"40.1410720603,-88.2030805179",5316
subway-champaign-7,"40.0906720099,-88.240799961",2364
subway-champaign-7,"40.1320720513,-88.231344941",1768
subway-champaign-7,"40.1482720675,-88.243101947",3259
subway-champaign-7,"40.1662720855,-88.2407305777",4226
subway-champaign-7,"40.1194720387,-88.2054661415",2513
subway-champaign-7,"40.1698720891,-88.2901943385",6919
subway-champaign-7,"40.1356720549,-88.2030884701",5300
subway-champaign-7,"40.0924720117,-88.2431512059",2173
subway-champaign-7,"40.1338720531,-88.2101541",4240
subway-champaign-7,"40.1482720675,-88.2690050287",4057
subway-champaign-7,"40.1446720639,-88.2172034202",3343
subway-champaign-7,"40.1356720549,-88.2902008608",4534
subway-champaign-7,"40.0906720099,-88.1702150111",6285
subway-champaign-7,"40.1374720567,-88.2030858196",5507
subway-champaign-7,"40.1302720495,-88.1772001994",5073
subway-champaign-7,"40.0924720117,-88.2596214631",2871
subway-champaign-7,"40.1662720855,-88.212465179",5545
subway-champaign-7,"40.1374720567,-88.2925549691",4615
subway-champaign-7,"40.0816720009,-88.1961103114",4968
subway-champaign-7,"40.1122720315,-88.2902053171",3343
subway-champaign-7,"40.0834720027,-88.2290436411",3280
subway-champaign-7,"40.1158720351,-88.191349093",3187
subway-champaign-7,"40.1194720387,-88.2290044207",1067
subway-champaign-7,"40.1608720801,-88.2054066041",5760
subway-champaign-7,"40.1194720387,-88.2242967648",1343
subway-champaign-7,"40.0978720171,-88.219615639",2616
subway-champaign-7,"40.1338720531,-88.1913194874",5095
subway-champaign-7,"40.1104720297,-88.2525493967",1161
subway-champaign-7,"40.1158720351,-88.2266546426",1110
subway-champaign-7,"40.1464720657,-88.2148463796",3951
subway-champaign-7,"40.1014720207,-88.2125516041",2808
subway-champaign-7,"40.1374720567,-88.2101491735",5983
subway-champaign-7,"40.1590720783,-88.1771467939",6234
subway-champaign-7,"40.0816720009,-88.2031678733",4817
subway-champaign-7,"40.1716720909,-88.2595707101",5363
subway-champaign-7,"40.0996720189,-88.1701974297",6683
subway-champaign-7,"40.1446720639,-88.2478145308",2766
subway-champaign-7,"40.0978720171,-88.2784426538",3550
subway-champaign-7,"40.1626720819,-88.2336679127",3932
subway-champaign-7,"40.0870720063,-88.2972682319",5369
subway-champaign-7,"40.1086720279,-88.2148954693",2205
subway-champaign-7,"40.1464720657,-88.297263092",5297
subway-champaign-7,"40.0942720135,-88.2902087414",4590
subway-champaign-7,"40.0834720027,-88.177286819",6100
subway-champaign-7,"40.1194720387,-88.2902039465",3829
subway-champaign-7,"40.1680720873,-88.2595730214",5086
subway-champaign-7,"40.0996720189,-88.2031414294",3487
subway-champaign-7,"40.1050720243,-88.3019733352",4583
subway-champaign-7,"40.1356720549,-88.2219235816",2576
subway-champaign-7,"40.1104720297,-88.2949126925",3890
subway-champaign-7,"40.1014720207,-88.2196112194",2363
subway-champaign-7,"40.1284720477,-88.165432837",6402
subway-champaign-7,"40.0816720009,-88.2196355177",3958
subway-champaign-7,"40.1212720405,-88.1889863239",3733
subway-champaign-7,"40.1032720225,-88.1678371276",5290
subway-champaign-7,"40.1536720729,-88.2619372754",4370
subway-champaign-7,"40.1374720567,-88.2878460665",4722
subway-champaign-7,"40.1248720441,-88.2454766356",1003
subway-champaign-7,"40.1356720549,-88.1936709143",4860
subway-champaign-7,"40.1608720801,-88.290196056",5902
subway-champaign-7,"40.0960720153,-88.2219708669",2567
subway-champaign-7,"40.1104720297,-88.2078325845",2503
subway-champaign-7,"40.1554720747,-88.2171897532",4452
subway-champaign-7,"40.0996720189,-88.2078477151",3204
subway-champaign-7,"40.1176720369,-88.2031149617",2501
subway-champaign-7,"40.1626720819,-88.2101146627",5247
subway-champaign-7,"40.0852720045,-88.252568132",3547
subway-champaign-7,"40.1284720477,-88.2831398139",3503
subway-champaign-7,"40.1212720405,-88.2760802624",2617
subway-champaign-7,"40.1248720441,-88.25724671",1752
subway-champaign-7,"40.1662720855,-88.1747779806",7528
subway-champaign-7,"40.1338720531,-88.2478233253",1898
subway-champaign-7,"40.1680720873,-88.3019722438",6752
subway-champaign-7,"40.1086720279,-88.2996198188",4177
subway-champaign-7,"40.1446720639,-88.2383957275",2503
subway-champaign-7,"40.1302720495,-88.2219300351",2718
subway-champaign-7,"40.1464720657,-88.1983630372",5085
subway-champaign-7,"40.1734720927,-88.2548581547",5365
subway-champaign-7,"40.0978720171,-88.2078502361",3371
subway-champaign-7,"40.1536720729,-88.2901974294",6288
subway-champaign-7,"40.1302720495,-88.2007422182",3593
subway-champaign-7,"40.0852720045,-88.1702255561",6430
subway-champaign-7,"40.0906720099,-88.2949150892",4897
subway-champaign-7,"40.1176720369,-88.2125300241",1929
subway-champaign-7,"40.1248720441,-88.2996189777",4643
subway-champaign-7,"40.0978720171,-88.2525587673",2097
subway-champaign-7,"40.1212720405,-88.2148791164",2084
subway-champaign-7,"40.1644720837,-88.2666414946",5501
subway-champaign-7,"40.0960720153,-88.1937346467",4306
subway-champaign-7,"40.1446720639,-88.2619427357",3273
subway-champaign-7,"40.0816720009,-88.2384556827",2917
subway-champaign-7,"40.0942720135,-88.2855028291",4237
subway-champaign-7,"40.1284720477,-88.1724952556",5143
subway-champaign-7,"40.1500720693,-88.2595845718",3860
subway-champaign-7,"40.0942720135,-88.1678550234",5811
subway-champaign-7,"40.1644720837,-88.2030460337",6047
subway-champaign-7,"40.1284720477,-88.2643066976",2429
subway-champaign-7,"40.0942720135,-88.2384437068",1949
subway-champaign-7,"40.1698720891,-88.2242382434",5529
subway-champaign-7,"40.1158720351,-88.2031176095",2437
subway-champaign-7,"40.1266720459,-88.2148721049",2649
subway-champaign-7,"40.1104720297,-88.1772368709",4411
subway-champaign-7,"40.0942720135,-88.2102082335",3457
subway-champaign-7,"40.1680720873,-88.2313068731",5095
subway-champaign-7,"40.1320720513,-88.2172193557",2758
subway-champaign-7,"40.1158720351,-88.2596064889",1267
subway-champaign-7,"40.1212720405,-88.2478335796",881
subway-champaign-7,"40.0834720027,-88.1843445674",5725
subway-champaign-7,"40.1554720747,-88.1771534738",6232
subway-champaign-7,"40.1014720207,-88.2972669873",4430
subway-champaign-7,"40.0834720027,-88.1890497331",5409
subway-champaign-7,"40.1284720477,-88.2525359999",1697
subway-champaign-7,"40.1590720783,-88.1747915938",6381
subway-champaign-7,"40.0960720153,-88.2925614174",4588
subway-champaign-7,"40.1626720819,-88.2901957125",5902
subway-champaign-7,"40.1230720423,-88.191337254",3475
subway-champaign-7,"40.1410720603,-88.2831361036",3956
subway-champaign-7,"40.1266720459,-88.2807862666",3262
subway-champaign-7,"40.1698720891,-88.2101047945",5838
subway-champaign-7,"40.1266720459,-88.2949107298",4288
subway-champaign-7,"40.0996720189,-88.2407917148",1586
subway-champaign-7,"40.1104720297,-88.2313677488",1030
subway-champaign-7,"40.0960720153,-88.2690312339",3167
subway-champaign-7,"40.1464720657,-88.2454583014",3003
subway-champaign-7,"40.1032720225,-88.24549495",1259
subway-champaign-7,"40.1752720945,-88.1983185797",6695
subway-champaign-7,"40.0888720081,-88.2337433014",2601
subway-champaign-7,"40.1446720639,-88.2407504283",2554
subway-champaign-7,"40.1266720459,-88.2360587997",1330
subway-champaign-7,"40.1464720657,-88.2949083288",5297
subway-champaign-7,"40.0852720045,-88.2760945822",4385
subway-champaign-7,"40.1482720675,-88.2666502031",3915
subway-champaign-7,"40.1428720621,-88.1842407593",5030
subway-champaign-7,"40.1716720909,-88.1771234048",7386
subway-champaign-7,"40.1320720513,-88.2643046402",2710
subway-champaign-7,"40.1464720657,-88.2996178552",5298
subway-champaign-7,"40.0834720027,-88.1655239048",6728
subway-champaign-7,"40.1446720639,-88.2690068382",4104
subway-champaign-7,"40.1590720783,-88.2454475972",3839
subway-champaign-7,"40.1086720279,-88.1843005653",4097
subway-champaign-7,"40.1374720567,-88.2972638717",5309
subway-champaign-7,"40.1698720891,-88.2548607161",5272
subway-champaign-7,"40.0906720099,-88.2031546544",4101
subway-champaign-7,"40.0834720027,-88.2925633773",5739
subway-champaign-7,"40.1248720441,-88.1748561894",6821
subway-champaign-7,"40.0978720171,-88.1819663496",4734
subway-champaign-7,"40.1068720261,-88.2360783315",1087
subway-champaign-7,"40.1338720531,-88.2148627532",2952
subway-champaign-7,"40.0888720081,-88.2431543792",2438
subway-champaign-7,"40.0852720045,-88.2455101969",3018
subway-champaign-7,"40.1428720621,-88.2289788894",2802
subway-champaign-7,"40.1140720333,-88.2125348212",2023
subway-champaign-7,"40.1554720747,-88.2030593016",5323
subway-champaign-7,"40.1644720837,-88.2996169188",6654
subway-champaign-7,"40.1392720585,-88.2148557372",5894
subway-champaign-7,"40.1518720711,-88.2572284668",3788
subway-champaign-7,"40.0834720027,-88.1702290705",6515
subway-champaign-7,"40.1680720873,-88.2949057068",6684
subway-champaign-7,"40.0924720117,-88.2455040998",2036
subway-champaign-7,"40.1338720531,-88.2525319785",2152
subway-champaign-7,"40.1608720801,-88.2454460675",3840
subway-champaign-7,"40.1446720639,-88.2336863259",2746
subway-champaign-7,"40.0942720135,-88.1890316284",4704
subway-champaign-7,"40.1320720513,-88.2713674329",3088
subway-champaign-7,"40.1122720315,-88.2854981596",3115
subway-champaign-7,"40.1032720225,-88.170190395",5174
subway-champaign-7,"40.1554720747,-88.1842186996",5761
subway-champaign-7,"40.1104720297,-88.2337212653",872
subway-champaign-7,"40.1122720315,-88.1842942748",3804
subway-champaign-7,"40.0942720135,-88.2807969169",4016
subway-champaign-7,"40.1320720513,-88.2737216971",3233
subway-champaign-7,"40.0942720135,-88.221973014",2885
subway-champaign-7,"40.1536720729,-88.2171920315",4306
subway-champaign-7,"40.1014720207,-88.2713817313",2972
subway-champaign-7,"40.1320720513,-88.2478247906",1743
subway-champaign-7,"40.1086720279,-88.2666714607",2182
subway-champaign-7,"40.1734720927,-88.2477910554",5110
subway-champaign-7,"40.0960720153,-88.2102057752",3405
subway-champaign-7,"40.1230720423,-88.1772135387",6684
subway-champaign-7,"40.1158720351,-88.2807898186",2780
subway-champaign-7,"40.1752720945,-88.2666356851",5809
subway-champaign-7,"40.0888720081,-88.2784459208",4468
subway-champaign-7,"40.0960720153,-88.181969555",5339
subway-champaign-7,"40.1716720909,-88.1841903167",7251
subway-champaign-7,"40.0960720153,-88.1654984265",6390
subway-champaign-7,"40.1230720423,-88.2501860677",1122
subway-champaign-7,"40.1554720747,-88.2289651294",3906
subway-champaign-7,"40.1320720513,-88.1960309776",3710
subway-champaign-7,"40.1356720549,-88.2878464719",4690
subway-champaign-7,"40.0960720153,-88.2666782156",2991
subway-champaign-7,"40.1698720891,-88.2289493931",5240
subway-champaign-7,"40.1014720207,-88.2337304499",1611
subway-champaign-7,"40.1446720639,-88.2831350431",4182
subway-champaign-7,"40.1302720495,-88.2101590257",3082
subway-champaign-7,"40.1104720297,-88.1819439038",4048
subway-champaign-7,"40.1104720297,-88.2666704953",2071
subway-champaign-7,"40.0942720135,-88.2266789263",2595
subway-champaign-7,"40.1572720765,-88.1889258224",6008
subway-champaign-7,"40.1194720387,-88.2854962906",3337
subway-champaign-7,"40.1284720477,-88.2054532091",3162
subway-champaign-7,"40.1266720459,-88.2878484982",3853
subway-champaign-7,"40.0996720189,-88.1890225724",4309
subway-champaign-7,"40.1518720711,-88.2148393592",4156
subway-champaign-7,"40.1464720657,-88.2713606967",4211
subway-champaign-7,"40.0888720081,-88.1819823736",5635
subway-champaign-7,"40.0942720135,-88.2455025752",1894
subway-champaign-7,"40.1248720441,-88.2148744423",2293
subway-champaign-7,"40.1500720693,-88.2713590119",4418
subway-champaign-7,"40.1032720225,-88.2855004949",3820
subway-champaign-7,"40.1302720495,-88.2572430633",2184
subway-champaign-7,"40.1644720837,-88.2972615314",6500
subway-champaign-7,"40.0888720081,-88.2172739153",3504
subway-champaign-7,"40.0852720045,-88.2290416817",3216
subway-champaign-7,"40.0978720171,-88.2949142179",4633
subway-champaign-7,"40.1320720513,-88.210156563",3220
subway-champaign-7,"40.1392720585,-88.2242737919",2773
subway-champaign-7,"40.1698720891,-88.2124603693",6038
subway-champaign-7,"40.1140720333,-88.2313639493",759
subway-champaign-7,"40.0816720009,-88.243160724",3010
subway-champaign-7,"40.1392720585,-88.1724744911",5349
subway-champaign-7,"40.1536720729,-88.2478071984",3791
subway-champaign-7,"40.0906720099,-88.1937433277",4583
subway-champaign-7,"40.1446720639,-88.2101393177",5684
subway-champaign-7,"40.1176720369,-88.1748697744",4607
subway-champaign-7,"40.1158720351,-88.2878509285",3610
subway-champaign-7,"40.1446720639,-88.1724641047",5607
subway-champaign-7,"40.0870720063,-88.2125707716",3826
subway-champaign-7,"40.1392720585,-88.2266283056",2399
subway-champaign-7,"40.1320720513,-88.2760759614",3343
subway-champaign-7,"40.0978720171,-88.2972672985",4708
subway-champaign-7,"40.1338720531,-88.2737209177",3350
subway-champaign-7,"40.1086720279,-88.2972663646",4097
subway-champaign-7,"40.1500720693,-88.29726278",5283
subway-champaign-7,"40.1536720729,-88.2807773781",5764
subway-champaign-7,"40.1590720783,-88.2972619997",5955
subway-champaign-7,"40.1464720657,-88.3019726184",5305
subway-champaign-7,"40.1212720405,-88.2666647015",2006
subway-champaign-7,"40.0996720189,-88.2290260006",2079
subway-champaign-7,"40.1158720351,-88.2384231591",204
