res_id,cell_center,walk_time
bob-evans-champaign,"40.0870720063,-88.2078653571",5959
tgi-fridays-champaign-2,"40.0870720063,-88.2078653571",5959
alexanders-steakhouse-champaign,"40.0870720063,-88.2078653571",5959
alexanders-steakhouse-champaign,"40.1698720891,-88.2501495665",3663
tgi-fridays-champaign-2,"40.1698720891,-88.2501495665",3663
alexanders-steakhouse-champaign,"40.1698720891,-88.2501495665",3663
alexanders-steakhouse-champaign,"40.1284720477,-88.2972646512",4371
tgi-fridays-champaign-2,"40.1284720477,-88.2972646512",4371
alexanders-steakhouse-champaign,"40.1284720477,-88.2972646512",4371
alexanders-steakhouse-champaign,"40.0924720117,-88.2172693732",5051
tgi-fridays-champaign-2,"40.0924720117,-88.2172693732",5051
alexanders-steakhouse-champaign,"40.0924720117,-88.2172693732",5051
alexanders-steakhouse-champaign,"40.1230720423,-88.2384163049",1424
tgi-fridays-champaign-2,"40.1230720423,-88.2384163049",1424
alexanders-steakhouse-champaign,"40.1230720423,-88.2384163049",1424
alexanders-steakhouse-champaign,"40.1194720387,-88.1866355182",5385
tgi-fridays-champaign-2,"40.1194720387,-88.1866355182",5385
alexanders-steakhouse-champaign,"40.1194720387,-88.1866355182",5385
alexanders-steakhouse-champaign,"40.1104720297,-88.2290142324",3045
tgi-fridays-champaign-2,"40.1104720297,-88.2290142324",3045
alexanders-steakhouse-champaign,"40.1104720297,-88.2290142324",3045
alexanders-steakhouse-champaign,"40.1104720297,-88.1678228052",6642
tgi-fridays-champaign-2,"40.1104720297,-88.1678228052",6642
alexanders-steakhouse-champaign,"40.1104720297,-88.1678228052",6642
alexanders-steakhouse-champaign,"40.0906720099,-88.2290358026",4662
tgi-fridays-champaign-2,"40.0906720099,-88.2290358026",4662
alexanders-steakhouse-champaign,"40.0906720099,-88.2290358026",4662
alexanders-steakhouse-champaign,"40.0834720027,-88.2572746349",5155
tgi-fridays-champaign-2,"40.0834720027,-88.2572746349",5155
