res_id,cell_center,walk_time
niros-gyros-champaign-2,"40.1140720333,-88.2007666162",3276
niros-gyros-champaign-2,"40.1662720855,-88.2831286759",6422
niros-gyros-champaign-2,"40.1554720747,-88.2690014088",5317
niros-gyros-champaign-2,"40.1374720567,-88.1724779526",6211
niros-gyros-champaign-2,"40.1212720405,-88.2831419331",3743
niros-gyros-champaign-2,"40.1050720243,-88.1701868771",4984
niros-gyros-champaign-2,"40.1410720603,-88.2030805179",6291
niros-gyros-champaign-2,"40.0906720099,-88.240799961",1362
niros-gyros-champaign-2,"40.1320720513,-88.231344941",2640
niros-gyros-champaign-2,"40.1482720675,-88.243101947",4048
niros-gyros-champaign-2,"40.1662720855,-88.2407305777",5097
niros-gyros-champaign-2,"40.1194720387,-88.2054661415",3488
niros-gyros-champaign-2,"40.1698720891,-88.2901943385",7633
niros-gyros-champaign-2,"40.1356720549,-88.2030884701",6276
niros-gyros-champaign-2,"40.0924720117,-88.2431512059",1190
niros-gyros-champaign-2,"40.1338720531,-88.2101541",5215
niros-gyros-champaign-2,"40.1482720675,-88.2690050287",4771
niros-gyros-champaign-2,"40.1446720639,-88.2172034202",4215
niros-gyros-champaign-2,"40.1356720549,-88.2902008608",5217
niros-gyros-champaign-2,"40.0906720099,-88.1702150111",5745
niros-gyros-champaign-2,"40.1374720567,-88.2030858196",6482
niros-gyros-champaign-2,"40.1302720495,-88.1772001994",6049
niros-gyros-champaign-2,"40.0924720117,-88.2596214631",1888
niros-gyros-champaign-2,"40.1662720855,-88.212465179",6416
niros-gyros-champaign-2,"40.1374720567,-88.2925549691",5298
niros-gyros-champaign-2,"40.0816720009,-88.1961103114",4431
niros-gyros-champaign-2,"40.1122720315,-88.2902053171",3538
niros-gyros-champaign-2,"40.0834720027,-88.2290436411",2586
niros-gyros-champaign-2,"40.1158720351,-88.191349093",4162
niros-gyros-champaign-2,"40.1194720387,-88.2290044207",2042
niros-gyros-champaign-2,"40.1608720801,-88.2054066041",6631
niros-gyros-champaign-2,"40.1194720387,-88.2242967648",2319
niros-gyros-champaign-2,"40.0978720171,-88.219615639",2095
niros-gyros-champaign-2,"40.1338720531,-88.1913194874",6070
niros-gyros-champaign-2,"40.1104720297,-88.2525493967",964
niros-gyros-champaign-2,"40.1158720351,-88.2266546426",2046
niros-gyros-champaign-2,"40.1464720657,-88.2148463796",4822
niros-gyros-champaign-2,"40.1014720207,-88.2125516041",2397
niros-gyros-champaign-2,"40.1374720567,-88.2101491735",6958
niros-gyros-champaign-2,"40.1590720783,-88.1771467939",7210
niros-gyros-champaign-2,"40.0816720009,-88.2031678733",4279
niros-gyros-champaign-2,"40.1716720909,-88.2595707101",6077
niros-gyros-champaign-2,"40.0996720189,-88.1701974297",6503
