res_id,cell_center,walk_time
the-bread-company-urbana,"40.1356720549,-88.1889621364",4781
timpones-urbana,"40.1356720549,-88.1889621364",4781
the-red-herring-vegetarian-restaurant-urbana-2,"40.1356720549,-88.1889621364",4781
the-red-herring-vegetarian-restaurant-urbana-2,"40.1716720909,-88.2807714457",7963
timpones-urbana,"40.1716720909,-88.2807714457",7963
the-red-herring-vegetarian-restaurant-urbana-2,"40.1716720909,-88.2807714457",7963
the-red-herring-vegetarian-restaurant-urbana-2,"40.1572720765,-88.2595799529",5828
timpones-urbana,"40.1572720765,-88.2595799529",5828
the-red-herring-vegetarian-restaurant-urbana-2,"40.1572720765,-88.2595799529",5828
the-red-herring-vegetarian-restaurant-urbana-2,"40.1230720423,-88.2054609693",2489
timpones-urbana,"40.1230720423,-88.2054609693",2489
the-red-herring-vegetarian-restaurant-urbana-2,"40.1230720423,-88.2054609693",2489
the-red-herring-vegetarian-restaurant-urbana-2,"40.1032720225,-88.1866632664",2738
timpones-urbana,"40.1032720225,-88.1866632664",2738
the-red-herring-vegetarian-restaurant-urbana-2,"40.1032720225,-88.1866632664",2738
the-red-herring-vegetarian-restaurant-urbana-2,"40.1032720225,-88.2172557419",750
timpones-urbana,"40.1032720225,-88.2172557419",750
the-red-herring-vegetarian-restaurant-urbana-2,"40.1032720225,-88.2172557419",750
the-red-herring-vegetarian-restaurant-urbana-2,"40.0978720171,-88.1725540272",3744
timpones-urbana,"40.0978720171,-88.1725540272",3744
the-red-herring-vegetarian-restaurant-urbana-2,"40.0978720171,-88.1725540272",3744
the-red-herring-vegetarian-restaurant-urbana-2,"40.1680720873,-88.1959741878",6940
timpones-urbana,"40.1680720873,-88.1959741878",6940
the-red-herring-vegetarian-restaurant-urbana-2,"40.1680720873,-88.1959741878",6940
the-red-herring-vegetarian-restaurant-urbana-2,"40.1374720567,-88.2054402709",5339
timpones-urbana,"40.1374720567,-88.2054402709",5339
the-red-herring-vegetarian-restaurant-urbana-2,"40.1374720567,-88.2054402709",5339
the-red-herring-vegetarian-restaurant-urbana-2,"40.0906720099,-88.2243301393",2119
timpones-urbana,"40.0906720099,-88.2243301393",2119
the-red-herring-vegetarian-restaurant-urbana-2,"40.0906720099,-88.2243301393",2119
the-red-herring-vegetarian-restaurant-urbana-2,"40.1104720297,-88.2996197254",5052
timpones-urbana,"40.1104720297,-88.2996197254",5052
the-red-herring-vegetarian-restaurant-urbana-2,"40.1104720297,-88.2996197254",5052
the-red-herring-vegetarian-restaurant-urbana-2,"40.1572720765,-88.2007015108",5568
timpones-urbana,"40.1572720765,-88.2007015108",5568
the-red-herring-vegetarian-restaurant-urbana-2,"40.1572720765,-88.2007015108",5568
the-red-herring-vegetarian-restaurant-urbana-2,"40.1482720675,-88.254876075",5046
timpones-urbana,"40.1482720675,-88.254876075",5046
the-red-herring-vegetarian-restaurant-urbana-2,"40.1482720675,-88.254876075",5046
the-red-herring-vegetarian-restaurant-urbana-2,"40.1230720423,-88.2619558304",3443
timpones-urbana,"40.1230720423,-88.2619558304",3443
the-red-herring-vegetarian-restaurant-urbana-2,"40.1230720423,-88.2619558304",3443
the-red-herring-vegetarian-restaurant-urbana-2,"40.1338720531,-88.2878468772",5849
timpones-urbana,"40.1338720531,-88.2878468772",5849
the-red-herring-vegetarian-restaurant-urbana-2,"40.1338720531,-88.2878468772",5849
the-red-herring-vegetarian-restaurant-urbana-2,"40.1158720351,-88.2431305657",1747
timpones-urbana,"40.1158720351,-88.2431305657",1747
the-red-herring-vegetarian-restaurant-urbana-2,"40.1158720351,-88.2431305657",1747
the-red-herring-vegetarian-restaurant-urbana-2,"40.1158720351,-88.2572527856",2698
timpones-urbana,"40.1158720351,-88.2572527856",2698
the-red-herring-vegetarian-restaurant-urbana-2,"40.1158720351,-88.2572527856",2698
the-red-herring-vegetarian-restaurant-urbana-2,"40.1464720657,-88.2195559061",3599
timpones-urbana,"40.1464720657,-88.2195559061",3599
the-red-herring-vegetarian-restaurant-urbana-2,"40.1464720657,-88.2195559061",3599
the-red-herring-vegetarian-restaurant-urbana-2,"40.1680720873,-88.191263163",7228
timpones-urbana,"40.1680720873,-88.191263163",7228
the-red-herring-vegetarian-restaurant-urbana-2,"40.1680720873,-88.191263163",7228
the-red-herring-vegetarian-restaurant-urbana-2,"40.1392720585,-88.2925546885",6804
timpones-urbana,"40.1392720585,-88.2925546885",6804
the-red-herring-vegetarian-restaurant-urbana-2,"40.1392720585,-88.2925546885",6804
the-red-herring-vegetarian-restaurant-urbana-2,"40.0816720009,-88.2337506415",2540
timpones-urbana,"40.0816720009,-88.2337506415",2540
the-red-herring-vegetarian-restaurant-urbana-2,"40.0816720009,-88.2337506415",2540
the-red-herring-vegetarian-restaurant-urbana-2,"40.1104720297,-88.2172466503",736
timpones-urbana,"40.1104720297,-88.2172466503",736
